SIGMA PHARMACEUTICALS PLC
SIMONS RODENTS
SMITHFIELD CASING & SUNDR
SPARKS CATERING BUTCHERS
SPC COATINGS LIMITED
SPECTRUM HYGIENE LIMITED
STEVENAGE PACKAGING LIMITED
STRATFORDS LIMITED
SUMMIT HYGIENE
TANNER BRODIN LTD
TARIQ HALAL MEAT FRANCHISE LTD
TATE BUSINESS GROUP LIMIT
TECHNO PACKAGING LIMITED
TEMPLECOOMBE LTD
THE BAGGERY LIMITED
THE EVERGREEN CARE TRUST
THE UNIVERSAL BAG & PACKAGING CO LT
THOMPSONS FOOD SERVICE LT
UNIVERSAL UNITY LIMITED
UNIVERSAL WHOLESALERS LTD
VIPDIP LTD
VIVO TECHNOLOGIES LTD
WASEEMA PACKAGING
WATERDENE FOODSERVICE LTD
WELCH & TIDY LTD
WENZELS THE BAKERS LTD
WESTERN FOOD IMPORTERS LTD
WISE TRADING LIMITED
WM - PAC LTD
WOODWAY UK SOUTH LIMITED
WORLD LINK
WYCLEAN GROUP LTD
XONE DISTRIBUTION LTD t/a UNIVERSAL
ZEUS PACKAGING (UK) LTD
